estrato,url,tipo,baths,rooms,area,precio,antiguedad,ciudad,departamento,lat,long
4,https://www.ciencuadras.com//inmueble/casa-campestre-en-arriendo-o-venta-en-vereda-rio-blanco-popayan-2868333,casa_campestre,4,5,1500.0,4500000,7,popayan,cauca,6.158398,-71.766273
4,https://www.ciencuadras.com//inmueble/casa-en-arriendo-o-venta-en-el-centro-popayan-2866344,casa,4,5,220.0,3900000,20,popayan,cauca,2.44216908,-76.60955918
4,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-portal-de-la-vega-popayan-2973170,apartamento,2,3,100.0,1400000,5,popayan,cauca,2.46844088,-76.579309859
3,https://www.ciencuadras.com//inmueble/apartaestudio-en-arriendo-o-venta-en-antonio-narino-popayan-3013425,apartaestudio,1,1,32.0,30000000,1,popayan,cauca,6.158398,-71.766273
3,https://www.ciencuadras.com//inmueble/casa-campestre-en-arriendo-en-antonio-narino-popayan-3035427,casa_campestre,3,4,1000.0,5400000,3,popayan,cauca,6.158398,-71.766273
3,https://www.ciencuadras.com//inmueble/casa-en-arriendo-en-gran-bretana-popayan-2879034,casa,3,3,58.0,900000,2,popayan,cauca,2.48752977,-76.578809
4,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-el-centro-popayan-2924197,local,2,0,126.0,3500000,12,popayan,cauca,2.44203069,-76.60418695
3,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-urbanizacion-villa-del-viento-popayan-2863749,local,2,0,250.0,15000000,5,popayan,cauca,2.47908147,-76.57591119
4,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-olivares-del-norte-popayan-3018454,apartamento,1,1,30.0,700000,1,popayan,cauca,2.4944398,-76.5656845
4,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-urbanizacion-coinca-armenia-2264058,local,2,0,222.7,10000000,4,armenia,quindío,4.55953767,-75.65430562
5,https://www.ciencuadras.com//inmueble/casa-campestre-en-arriendo-en-br-bloques-alejandria-armenia-2871870,casa_campestre,4,3,204.0,2900000,20,armenia,quindío,4.557446903,-75.64933285
3,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-60-casas-armenia-2679463,apartamento,1,1,60.0,730000,15,armenia,quindío,4.54332101,-75.66937638
5,https://www.ciencuadras.com//inmueble/casa-campestre-en-arriendo-en-br-la-montana-armenia-2990253,casa_campestre,4,3,500.0,4300000,1,armenia,quindío,8.233333,-73.35
4,https://www.ciencuadras.com//inmueble/apartaestudio-en-arriendo-en-mercedes-del-norte-armenia-3013813,apartaestudio,1,1,53.0,1100000,20,armenia,quindío,8.233333,-73.35
2,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-arenales-armenia-3083367,apartamento,2,3,55.08,900000,0,armenia,quindío,8.233333,-73.35
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-oro-negro-norte-armenia-2929467,apartamento,2,2,78.0,2500000,2,armenia,quindío,8.233333,-73.35
1,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-sector-parque-valencia-armenia-2979604,local,1,0,80.0,1300000,20,armenia,quindío,4.537502011,-75.675382856
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-o-venta-en-urbanizacion-coinca-armenia-3001120,apartamento,4,4,280.0,3220000,25,armenia,quindío,4.559099734008417,-75.65468224168848
4,https://www.ciencuadras.com//inmueble/casa-en-arriendo-en-ub-quintas-de-san-miguel-armenia-3075082,casa,3,5,100.0,1500000,20,armenia,quindío,8.233333,-73.35
5,https://www.ciencuadras.com//inmueble/apartaestudio-en-arriendo-en-galan-armenia-3086947,apartaestudio,2,1,52.0,1400000,3,armenia,quindío,4.5512691689,-75.6695781258
3,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-antonio-narino-armenia-2397487,apartamento,2,3,51.0,750000,2,armenia,quindío,4.52484973,-75.70735768
