estrato,url,tipo,baths,rooms,area,precio,antiguedad,ciudad,departamento,lat,long
3,https://www.fincaraiz.com.co/oficina-en-arriendo/191344558,oficina,,,19.0,1100000,1 a 8 años,popayan,cauca,2.4405233,-76.6080554
6,https://www.fincaraiz.com.co/local-en-arriendo/191387968,local,1,,30.0,2000000,9 a 15 años,popayan,cauca,2.4388862907466,-76.60593109046
5,https://www.fincaraiz.com.co/apartaestudio-en-arriendo-medellin/7867016,apartaestudio,1,1,33.0,1300000,1 a 8 años,popayan,cauca,2.45791912078857,-76.6301040649414
3,https://www.fincaraiz.com.co/casa-en-arriendo/10578676,casa,1,2,60.0,950000,más de 30 años,popayan,cauca,2.4448935,-76.6105423
6,https://www.fincaraiz.com.co/local-en-arriendo/191387846,local,,,12.0,1400000,16 a 30 años,popayan,cauca,2.4405233,-76.6080554
3,https://www.fincaraiz.com.co/local-en-arriendo/10161656,local,2,1,65.0,1000000,16 a 30 años,popayan,cauca,2.4446339,-76.6077277
3,https://www.fincaraiz.com.co/apartamento-en-arriendo/10161683,apartamento,2,4,117.32,810000,16 a 30 años,popayan,cauca,2.46170391303495,-76.6441574628403
4,https://www.fincaraiz.com.co/casa-en-arriendo/191362005,casa,2,3,103.0,1415000,1 a 8 años,popayan,cauca,2.5025941,-76.5769933
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/191177934,apartamento,2,2,182.06,2000000,16 a 30 años,popayan,cauca,2.4476532,-76.6065903
4,https://www.fincaraiz.com.co/apartamento-en-arriendo/10876589,apartamento,2,3,100.0,1400000,16 a 30 años,popayan,cauca,2.4539225882261,-76.596886464993
4,https://www.fincaraiz.com.co/local-en-arriendo/191062967,local,,,70.0,3200000,1 a 8 años,popayan,cauca,2.444488278894,-76.613030024475
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/191306526,apartamento,2,4,200.0,1500000,16 a 30 años,popayan,cauca,2.4622031,-76.5981677
