pagina,details,url
1,"FSE 5229,SE ARRIENDA, APARTAMENTO UBICADO EN TORRES DE MARILUZ ETAPA DOS, PARA GRUPO FAMILIAR SIN MASCOTAS,CONSTA DE: ALCOBA PRINCIPAL CON BAÑO PRIVADO, DOS ALCOBAS SENCILLAS, SALA COMEDOR, COCINA SEMI INTEGRAL, ZONA DE LAVANDERIA, BAÑO SOCIAL, PARQUEADERO PRIVADO DESCUBIERTO Y DEPOSITO ,VALOR DE ARRENDAMIENTO $800.000,DEPOSITO $500.000, SUJETO A PRE REQUISITOS,INTERESADOS LLAMAR AL 3183645759 DE 8:00AM A 10:00AM",https://amorelpasto.com/clasificados/web/app.php/categorias/SE%20ARRIENDA%20APARTAMENTO%20UBICADO%20EN%20TORRES%20DE%20MARILUZ%20ETAPA%20DOS%20/publicacion/124469
1,"FSE 5233,SE ARRIENDA APARTAMENTO EN CONJUNTO CERRADO URBANIZACION NORMANDIA,CONSTA DE: SALA, COCINA, COMEDOR, 2 ALCOBAS, PATIO DE ROPAS ,INF. 3013900831",https://amorelpasto.com/clasificados/web/app.php/categorias/SE%20ARRIENDA%20APARTAMENTO%20EN%20CONJUNTO%20CERRADO%20URBANIZACION%20NORMANDIA/publicacion/124474
1,"FSE 5231,ARRIENDO,APARTAESTUDIOS AMOBLADOS EN NOVACENTRO,Y APARTAESTUDIOS SIN AMOBLAR EN EL CENTRO 15 CON 26,INF. 3006769501",https://amorelpasto.com/clasificados/web/app.php/categorias/ARRIENDO%20APARTAESTUDIOS%20EN%20NOVACENTRO%20Y%20EN%20EL%20CENTRO/publicacion/124471
1,"FSE 5236,SE ARRIENDA APARTAMENTO CAPUSIGRA,CONSTA DE: 3 ALCOBAS, SALA COMEDOR, COCINA, BAÑO, PATIO, HALL ,INF. 3173333142",https://amorelpasto.com/clasificados/web/app.php/categorias/SE%20ARRIENDA%20APARTAMENTO%20CAPUSIGRA/publicacion/124477
1,,https://amorelpasto.com/clasificados/web/app.php/categorias/ALQUILER%20ARRIENDO%20APARTAESTUDIO%20CENTRO%20PASTO%20/publicacion/124505
1,,https://amorelpasto.com/clasificados/web/app.php/categorias/SE%20ARRENDA%20APARTAMENTO%20EN%20BARRIO%20EL%20DORADO%20CERCA%20AL%20CAI/publicacion/124507
1,"FSE 5258,SE ARRIENDA APARTAMENTO UBICADO EN EL BARRIO JAVERIANO, PRIMER PISO,CONSTA DE: GARAJE O SALA, COMEDOR, COCINA, 3 ALCOBAS, PATIO DE ROPAS, 2 BAÑOS ,INF. 3182734931",https://amorelpasto.com/clasificados/web/app.php/categorias/SE%20ARRIENDA%20APARTAMENTO%20UBICADO%20EN%20EL%20BARRIO%20JAVERIANO/publicacion/124502
1,"FSE 5182, CONSTA DE: SALA COMEDOR, COCINA INTEGRAL, 3
HABITACIONES, 2 BAÑOS, ZONA DE LAVADO, PARQUEADERO,EDIFICIO CON ASCENSOR,INFO: 3216435819 – 3015005510",https://amorelpasto.com/clasificados/web/app.php/categorias/SE%20ARRIENDA%20APARTAMENTO%20A%20DOS%20CUADRAS%20DEL%20PARQUE%20SANTIAGO/publicacion/124422
2,"FSE 5090,SE ARRIENDA APARTAMENTO, CONSTA DE: 3 ALCOBAS, SALA - COMEDOR, COCINA, CUARTO DE EMPLEADA CON BAÑO, 2 BAÑOS,BARRIO LAS AMERICAS - PISO 3,INF. 3127765141 DE 8 A 12:30 Y 2PM A 6PM",https://amorelpasto.com/clasificados/web/app.php/categorias/SE%20ARRIENDA%20APARTAMENTO%20BARRIO%20LAS%20AMERICAS/publicacion/124321
3,"FSE 4958,SE ARRIENDA APARTAMENTO, CONSTA DE: 2 PIEZAS, SALA, COMEDOR, ZONA DE ROPA INTERNA Y TERRAZA ,INF. 3117468226",https://amorelpasto.com/clasificados/web/app.php/categorias/SE%20ARRIENDA%20APARTAMENTO%20DE%202%20PIEZAS/publicacion/124168
4,"FSE 4778-1,SE ARRIENDA,APARTAMENTO EN LA QUINTA ,CONSTA DE: 2 HABITACIONES, ESTUDIO, SALA COMEDOR, ZONA DE LAVANDERIA, BAÑO ,VALOR $750.000,APARTAMENTO EN BACHUE,CONSTA DE: 3 HABITACIONES, SALA COMEDOR, COCINA, ZONA DE LAVANDERIA, BAÑO, BAÑOS SOCIAL ,VALOR $850.000,INF. 3152463427 ",https://amorelpasto.com/clasificados/web/app.php/categorias/SE%20ARRIENDA%20APARTAMENTOS%20/publicacion/124058
5,"FSE 4615,SE ARRIENDA HERMOSO APARTAMENTO ""A ESTRENAR""  BOSQUES DE LA COLINA 3,APARTAMENTO DE 63MTS2, TOTALMENTE TERMINADO ,CONSTA DE: 3 HABITACIONES CON CLOSET, LA HABITACION PRINCIPAL CON BAÑO PRIVADO, 2 BAÑOS, ZONA DE LAVANDERIA, CALENTADOR DE AGUA Y COCINA INTEGRAL ,TERRAZA PARA SECADO DE ROPA ,VALOR ARRIENDO $940.000 INCLUIDA ADMINISTRACION ,INF. 3144881568 - 3107040707",https://amorelpasto.com/clasificados/web/app.php/categorias/SE%20ARRIENDA%20HERMOSO%20APARTAMENTO%20%22A%20ESTRENAR%22%20%20BOSQUES%20DE%20LA%20COLINA%203/publicacion/123917
6,"FSE 4312,TENEMOS EN ARRENDO COMODOS APARTAESTUDIOS PARA ESTRENAR ,PARA PERSONAS SOLAS QUE ESTUDIEN O TRABAJEN ,INCLUIDOS TODOS LOS SERVICIOS, AGUA CALIENTE, LUZ, INTERNET, SEÑAL TV,PARQUEADERO PARA MOTOS ,EN EL BARRIO EL RECUERDO DIAGONAL A LA REGISTRADURIA, CERCA AL PARQUE BOLIVAR,INF CELULAR Y WHATSAPP 3113090728",https://amorelpasto.com/clasificados/web/app.php/categorias/TENEMOS%20EN%20ARRENDO%20COMODOS%20APARTAESTUDIOS/publicacion/123586
6,"FSE 4368,SE ARRIENDA APARTAMENTO EN CONJUNTO RESIDENCIAL SOTAVENTO ,TORRE 2 APTO 1001,CONSTA DE: SALA COMEDOR, COCINA INTEGRAL, ESTUDIO, DOS ALCOBAS, 1 CON BAÑO PRIVADO, BAÑO SOCIAL, PARQUEADERO COMUNITARIO ,INFORMES CEL. 3137165074",https://amorelpasto.com/clasificados/web/app.php/categorias/SE%20ARRIENDA%20APARTAMENTO%20EN%20CONJUNTO%20RESIDENCIAL%20SOTAVENTO%20/publicacion/123651
