ciudad,departamento,tipo,bathrooms,ambientes,habitaciones,metros,price
popayan,cauca,apartamento,2.0,,3.0,80.0,1500000.0
popayan,cauca,local,1.0,,,10.0,800000.0
popayan,cauca,local,,1.0,,4.0,400000.0
popayan,cauca,habitación,1.0,,,10.0,700000.0
popayan,cauca,apartaestudio,1.0,,1.0,58.0,1500000.0
popayan,cauca,oficina,1.0,,,23.0,700000.0
popayan,cauca,apartaestudio,1.0,,1.0,26.0,550000.0
popayan,cauca,apartamento,2.0,,3.0,69.0,1200000.0
popayan,cauca,casa,6.0,,7.0,344.0,3100000.0
popayan,cauca,casa,4.0,,5.0,240.0,3000000.0
popayan,cauca,habitación,6.0,,,1000.0,370000.0
popayan,cauca,apartaestudio,1.0,,1.0,31.0,650000.0
popayan,cauca,casa,2.0,,4.0,210.0,1300000.0
popayan,cauca,casa,4.0,,6.0,200.0,3200000.0
popayan,cauca,casa,3.0,,3.0,125.0,1530000.0
popayan,cauca,apartaestudio,1.0,,1.0,20.0,580000.0
popayan,cauca,oficina,1.0,1.0,,90.0,3600000.0
popayan,cauca,apartamento,3.0,,4.0,82.0,1580000.0
popayan,cauca,oficina,1.0,1.0,,90.0,2300000.0
popayan,cauca,apartamento,2.0,,3.0,60.0,1200000.0
popayan,cauca,local,1.0,1.0,,34.0,1300000.0
popayan,cauca,apartamento,3.0,,3.0,110.0,1800000.0
popayan,cauca,apartamento,1.0,,2.0,85.0,750000.0
popayan,cauca,oficina,1.0,1.0,,30.0,1300000.0
popayan,cauca,local,2.0,,,200.0,7500000.0
popayan,cauca,apartamento,2.0,,3.0,6.0,1300000.0
popayan,cauca,apartaestudio,1.0,,1.0,30.0,600000.0
popayan,cauca,casa,4.0,,4.0,150.0,1400000.0
popayan,cauca,local,1.0,1.0,,28.0,900000.0
popayan,cauca,casa,3.0,,3.0,99.0,1500000.0
popayan,cauca,habitación,1.0,,,6.0,340000.0
popayan,cauca,casa,1.0,,2.0,75.0,500000.0
popayan,cauca,habitación,1.0,,,36.0,280000.0
popayan,cauca,local,1.0,1.0,,27.0,1000000.0
popayan,cauca,casa,3.0,,4.0,117.0,1100000.0
popayan,cauca,local,1.0,1.0,,22.0,1200000.0
popayan,cauca,habitación,1.0,,1.0,28.0,480000.0
popayan,cauca,apartamento,1.0,,3.0,47.0,500000.0
popayan,cauca,casa,2.0,,3.0,105.0,1400000.0
popayan,cauca,apartaestudio,1.0,,1.0,60.0,800000.0
popayan,cauca,casa,4.0,,5.0,220.0,3500000.0
popayan,cauca,local,3.0,1.0,,294.0,12000000.0
popayan,cauca,local,1.0,1.0,,14.0,1500000.0
popayan,cauca,local,1.0,,,18.0,650000.0
popayan,cauca,habitación,,,,95.0,400000.0
popayan,cauca,local,1.0,,,10.0,100000.0
popayan,cauca,local,1.0,,,32.0,2100000.0
popayan,cauca,local,1.0,1.0,,35.0,2000000.0
popayan,cauca,habitación,2.0,,,160.0,390000.0
popayan,cauca,apartaestudio,1.0,,1.0,35.0,450000.0
popayan,cauca,apartaestudio,1.0,,1.0,30.0,800000.0
popayan,cauca,casa,4.0,,7.0,500.0,3200000.0
popayan,cauca,casa,4.0,,4.0,156.0,2000000.0
popayan,cauca,local,1.0,,,400.0,4000000.0
popayan,cauca,apartamento,1.0,,2.0,56.0,970000.0
popayan,cauca,casa,2.0,,2.0,142.0,500000.0
popayan,cauca,apartaestudio,1.0,,1.0,24.0,530000.0
popayan,cauca,casa_lote,4.0,,5.0,245.0,1500000.0
popayan,cauca,apartamento,1.0,,1.0,45.0,680000.0
popayan,cauca,local,1.0,,,30.0,2500000.0
popayan,cauca,habitación,1.0,,,18.0,450000.0
popayan,cauca,habitación,1.0,,,4.0,350000.0
popayan,cauca,local,1.0,1.0,,70.0,1400000.0
popayan,cauca,habitación,10.0,,10.0,17.0,750000.0
popayan,cauca,casa_lote,2.0,,4.0,66.0,1000000.0
popayan,cauca,local,1.0,1.0,,90.0,2300000.0
popayan,cauca,apartamento,2.0,,2.0,51.0,650000.0
popayan,cauca,apartamento,2.0,,3.0,80.0,1400000.0
popayan,cauca,habitación,1.0,,1.0,20.0,600000.0
popayan,cauca,apartaestudio,1.0,,1.0,32.0,510000.0
popayan,cauca,habitación,1.0,,,15.0,430000.0
popayan,cauca,local,1.0,1.0,,5.0,80000.0
popayan,cauca,apartamento,2.0,,3.0,65.0,1200000.0
popayan,cauca,habitación,,,,9.0,320000.0
armenia,quindio,apartamento,1.0,,2.0,43.0,1100000.0
armenia,quindio,apartamento,2.0,,3.0,115.0,2700000.0
armenia,quindio,casa_campestre,3.0,,3.0,750.0,4900000.0
armenia,quindio,casa,4.0,,7.0,230.0,4500000.0
armenia,quindio,apartamento,1.0,,2.0,48.0,700000.0
armenia,quindio,apartamento,2.0,,3.0,90.0,2200000.0
armenia,quindio,casa,7.0,,7.0,900.0,8000000.0
armenia,quindio,apartamento,2.0,,1.0,50.0,1250000.0
armenia,quindio,apartamento,2.0,,3.0,103.0,3000000.0
armenia,quindio,casa_campestre,3.0,,3.0,253.0,3500000.0
armenia,quindio,apartamento,1.0,,2.0,60.0,750000.0
armenia,quindio,local,1.0,,,35.0,1500000.0
armenia,quindio,apartamento,2.0,,2.0,57.0,1550000.0
armenia,quindio,oficina,2.0,1.0,,148.0,2000000.0
armenia,quindio,apartamento,4.0,,4.0,170.0,3400000.0
armenia,quindio,apartaestudio,1.0,,1.0,35.0,1500000.0
armenia,quindio,casa_campestre,6.0,,4.0,225.0,4500000.0
armenia,quindio,casa,3.0,,3.0,82.0,1850000.0
armenia,quindio,apartamento,4.0,,4.0,264.0,10000000.0
armenia,quindio,apartamento,2.0,,3.0,119.0,2375000.0
armenia,quindio,apartamento,1.0,,2.0,48.0,700000.0
armenia,quindio,apartamento,2.0,,2.0,59.0,950000.0
armenia,quindio,apartamento,2.0,,2.0,67.0,3300000.0
armenia,quindio,apartamento,2.0,,2.0,55.0,2700000.0
armenia,quindio,local,2.0,,,67.0,3000000.0
armenia,quindio,local,1.0,1.0,,22.0,1000000.0
armenia,quindio,apartamento,2.0,,3.0,58.0,1000000.0
armenia,quindio,casa,3.0,,3.0,74.0,650000.0
armenia,quindio,apartaestudio,1.0,,1.0,35.0,850000.0
armenia,quindio,apartamento,2.0,,3.0,66.0,1500000.0
armenia,quindio,apartamento,1.0,,2.0,48.0,850000.0
armenia,quindio,apartamento,1.0,,3.0,70.0,900000.0
armenia,quindio,apartamento,1.0,,2.0,60.0,1200000.0
armenia,quindio,casa,5.0,,8.0,550.0,10700000.0
armenia,quindio,consultorio,1.0,,,38.0,1880000.0
armenia,quindio,apartaestudio,1.0,,1.0,35.0,530000.0
armenia,quindio,apartamento,2.0,,2.0,72.0,1800000.0
armenia,quindio,apartaestudio,2.0,,1.0,55.0,2500000.0
armenia,quindio,local,1.0,1.0,,300.0,6300000.0
armenia,quindio,apartamento,2.0,,2.0,72.0,2000000.0
armenia,quindio,casa_campestre,5.0,,4.0,294.0,12000000.0
armenia,quindio,oficina,1.0,,,21.0,2000000.0
armenia,quindio,apartaestudio,1.0,,1.0,30.0,850000.0
armenia,quindio,casa,2.0,,3.0,81.0,1000000.0
armenia,quindio,oficina,1.0,1.0,,34.0,1600000.0
armenia,quindio,local,1.0,,,43.0,2300000.0
armenia,quindio,local,,,,149.0,6750000.0
armenia,quindio,apartaestudio,2.0,,1.0,51.0,1400000.0
armenia,quindio,oficina,1.0,,,5.0,950000.0
armenia,quindio,apartamento,5.0,,5.0,364.0,5700000.0
armenia,quindio,local,,,,11.0,1700000.0
armenia,quindio,local,1.0,1.0,,25.0,850000.0
armenia,quindio,local,1.0,1.0,,25.0,850000.0
armenia,quindio,apartamento,2.0,,3.0,65.0,1500000.0
armenia,quindio,casa,3.0,,5.0,270.0,3600000.0
armenia,quindio,apartamento,2.0,,20.0,92.0,2600000.0
armenia,quindio,bodega,,,,500.0,6500000.0
armenia,quindio,apartaestudio,1.0,,1.0,40.0,1300000.0
armenia,quindio,cabaña,1.0,,1.0,45.0,499000.0
armenia,quindio,apartaestudio,1.0,,1.0,41.0,950000.0
armenia,quindio,apartaestudio,1.0,,1.0,47.0,1000000.0
armenia,quindio,apartamento,1.0,,2.0,44.0,750000.0
armenia,quindio,apartamento,2.0,,1.0,63.0,1900000.0
armenia,quindio,local,1.0,,,64.0,4300000.0
armenia,quindio,apartamento,1.0,,2.0,53.0,1100000.0
armenia,quindio,local,1.0,,,14.0,800000.0
armenia,quindio,apartaestudio,1.0,,1.0,54.0,1200000.0
armenia,quindio,apartamento,2.0,,3.0,56.0,1270000.0
armenia,quindio,casa,3.0,,4.0,200.0,3200000.0
armenia,quindio,local,4.0,1.0,,280.0,9900000.0
armenia,quindio,local,2.0,,,130.0,3300000.0
armenia,quindio,apartamento,2.0,,3.0,98.0,2500000.0
armenia,quindio,apartamento,2.0,,3.0,65.0,2000000.0
armenia,quindio,apartamento,2.0,,3.0,98.0,1750000.0
armenia,quindio,apartamento,2.0,,3.0,80.0,2100000.0
armenia,quindio,apartamento,2.0,,2.0,40.0,1300000.0
armenia,quindio,local,2.0,,,80.0,3500000.0
armenia,quindio,casa,3.0,,3.0,160.0,3700000.0
armenia,quindio,local,1.0,1.0,,100.0,2500000.0
armenia,quindio,apartamento,2.0,,2.0,61.0,1900000.0
armenia,quindio,apartaestudio,1.0,,1.0,25.0,780000.0
armenia,quindio,local,,,,13.0,472000.0
armenia,quindio,bodega,,,,300.0,5712000.0
armenia,quindio,apartamento,2.0,,2.0,58.0,1600000.0
armenia,quindio,apartamento,2.0,,3.0,80.0,1000000.0
armenia,quindio,casa,3.0,,3.0,135.0,2200000.0
armenia,quindio,apartamento,2.0,,2.0,57.0,1450000.0
armenia,quindio,casa_campestre,4.0,,3.0,230.0,5500000.0
armenia,quindio,casa_campestre,6.0,,6.0,250.0,4500000.0
armenia,quindio,oficina,1.0,,,65.0,3600000.0
armenia,quindio,apartamento,1.0,,2.0,43.0,850000.0
armenia,quindio,local,1.0,1.0,,10.0,600000.0
armenia,quindio,bodega,1.0,,,720.0,12000000.0
armenia,quindio,bodega,1.0,,1.0,520.0,10000000.0
armenia,quindio,oficina,1.0,1.0,,15.0,570000.0
armenia,quindio,apartaestudio,2.0,,1.0,54.0,1650000.0
armenia,quindio,apartamento,2.0,,2.0,104.0,3000000.0
armenia,quindio,apartamento,3.0,,4.0,114.0,1500000.0
armenia,quindio,apartamento,3.0,,3.0,150.0,3000000.0
armenia,quindio,local,1.0,1.0,,30.0,1100000.0
armenia,quindio,oficina,1.0,1.0,,48.0,900000.0
armenia,quindio,apartamento,2.0,,3.0,97.0,3000000.0
armenia,quindio,apartaestudio,1.0,,1.0,41.0,1800000.0
armenia,quindio,local,1.0,1.0,,75.0,1840000.0
armenia,quindio,apartamento,2.0,,2.0,57.0,1800000.0
popayan,cauca,oficina,,,,19.0,850000.0
popayan,cauca,local,,,,12.0,1400000.0
popayan,cauca,local,2.0,1.0,,65.0,1000000.0
popayan,cauca,local,,,,70.0,3200000.0
popayan,cauca,apartaestudio,1.0,,1.0,33.0,1300000.0
popayan,cauca,casa,2.0,,3.0,103.0,1270000.0
popayan,cauca,apartamento,2.0,,4.0,32.0,810000.0
popayan,cauca,apartamento,2.0,,2.0,6.0,1400000.0
popayan,cauca,apartamento,2.0,,3.0,100.0,1400000.0
popayan,cauca,casa,1.0,,2.0,60.0,950000.0
popayan,cauca,local,1.0,,,30.0,2000000.0
popayan,cauca,apartamento,2.0,,4.0,200.0,1500000.0
popayan,cauca,local,4.0,,,500.0,3200000.0
popayan,cauca,local,2.0,1.0,,27.0,3000000.0
popayan,cauca,habitación,4.0,,5.0,4.0,200000.0
popayan,cauca,apartamento,1.0,,2.0,58.0,1300000.0
popayan,cauca,casa,3.0,,3.0,80.0,1200000.0
popayan,cauca,habitación,6.0,,,1000.0,350000.0
popayan,cauca,casa,4.0,,4.0,222.0,3000000.0
popayan,cauca,apartamento,2.0,,3.0,120.0,1300000.0
popayan,cauca,local,1.0,1.0,,22.0,1500000.0
armenia,quindio,apartamento,2.0,,3.0,90.0,3000000.0
armenia,quindio,casa,5.0,,5.0,110.0,4700000.0
armenia,quindio,apartamento,4.0,,3.0,170.0,3900000.0
armenia,quindio,oficina,,1.0,,259.0,12328400.0
armenia,quindio,oficina,,12.0,,210.0,2850000.0
armenia,quindio,apartamento,2.0,,3.0,55.0,1300000.0
armenia,quindio,local,2.0,,,130.0,3900000.0
armenia,quindio,local,2.0,1.0,,240.0,11500000.0
armenia,quindio,apartamento,2.0,,3.0,58.0,1300000.0
armenia,quindio,apartamento,1.0,,2.0,70.0,800000.0
armenia,quindio,apartaestudio,1.0,,1.0,45.0,2000000.0
armenia,quindio,casa_campestre,4.0,,3.0,140.0,4000000.0
armenia,quindio,apartaestudio,1.0,,1.0,37.0,1500000.0
armenia,quindio,local,4.0,1.0,,137.0,3700000.0
armenia,quindio,apartamento,2.0,,2.0,48.0,950000.0
armenia,quindio,oficina,,1.0,,20.0,650000.0
armenia,quindio,apartaestudio,1.0,,1.0,38.0,1400000.0
armenia,quindio,apartamento,2.0,,3.0,26.0,1250000.0
armenia,quindio,apartaestudio,2.0,,1.0,62.0,1800000.0
armenia,quindio,local,2.0,1.0,,359.0,18000000.0
armenia,quindio,local,1.0,,,40.0,3200000.0
armenia,quindio,apartamento,2.0,,3.0,83.0,2500000.0
armenia,quindio,apartamento,1.0,,3.0,90.0,1500000.0
armenia,quindio,apartamento,2.0,,2.0,60.0,2100000.0
armenia,quindio,casa,2.0,,3.0,68.0,1100000.0
armenia,quindio,local,,1.0,,20.0,1200000.0
armenia,quindio,apartamento,1.0,,2.0,62.0,2000000.0
armenia,quindio,local,3.0,1.0,,520.0,17000000.0
armenia,quindio,casa_campestre,4.0,,3.0,500.0,4200000.0
armenia,quindio,apartamento,2.0,,2.0,68.0,1400000.0
armenia,quindio,local,2.0,1.0,,130.0,7000000.0
armenia,quindio,apartamento,1.0,,2.0,51.0,934000.0
armenia,quindio,apartamento,2.0,,2.0,55.0,1500000.0
armenia,quindio,casa,1.0,,3.0,56.0,1400000.0
armenia,quindio,local,1.0,1.0,,27.0,1300000.0
armenia,quindio,casa,1.0,,2.0,50.0,480000.0
armenia,quindio,apartamento,2.0,,3.0,81.0,2000000.0
armenia,quindio,oficina,1.0,1.0,,26.0,1200000.0
armenia,quindio,casa_campestre,2.0,,4.0,200.0,7500000.0
armenia,quindio,apartamento,1.0,,2.0,38.0,600000.0
armenia,quindio,apartamento,1.0,,1.0,52.0,1900000.0
armenia,quindio,casa_campestre,4.0,,3.0,140.0,4300000.0
armenia,quindio,local,5.0,1.0,,320.0,12500000.0
armenia,quindio,apartamento,2.0,,2.0,69.0,1600000.0
armenia,quindio,apartamento,2.0,,3.0,76.0,1900000.0
armenia,quindio,apartamento,2.0,,2.0,50.0,750000.0
armenia,quindio,local,1.0,,,1390.0,8700000.0
armenia,quindio,apartamento,2.0,,3.0,117.0,3500000.0
armenia,quindio,local,,1.0,,114.0,5000000.0
armenia,quindio,local,,1.0,,38.0,1300000.0
armenia,quindio,casa_campestre,10.0,,5.0,1800.0,5500000.0
armenia,quindio,apartamento,2.0,,2.0,76.0,1950000.0
armenia,quindio,oficina,2.0,1.0,,120.0,6500000.0
armenia,quindio,apartaestudio,1.0,,1.0,34.0,1090000.0
armenia,quindio,casa_campestre,4.0,,4.0,220.0,4900000.0
armenia,quindio,apartamento,4.0,,3.0,175.0,5000000.0
armenia,quindio,apartamento,2.0,,3.0,55.0,800000.0
armenia,quindio,apartamento,2.0,,3.0,52.0,1050000.0
armenia,quindio,apartaestudio,1.0,,1.0,54.0,1500000.0
armenia,quindio,casa_campestre,7.0,,6.0,700.0,7990000.0
armenia,quindio,casa,2.0,,3.0,62.0,970000.0
armenia,quindio,apartaestudio,1.0,,1.0,40.0,1800000.0
armenia,quindio,apartaestudio,1.0,,1.0,30.0,1500000.0
armenia,quindio,apartamento,2.0,,2.0,56.0,2290000.0
armenia,quindio,apartamento,2.0,,3.0,102.0,2442000.0
armenia,quindio,bodega,5.0,,,1290.0,20030000.0
armenia,quindio,casa,2.0,,3.0,70.0,650000.0
armenia,quindio,bodega,1.0,,1.0,187.0,7137000.0
armenia,quindio,apartaestudio,1.0,,1.0,24.0,1100000.0
armenia,quindio,apartamento,2.0,,3.0,84.0,950000.0
armenia,quindio,casa_campestre,6.0,,5.0,900.0,15000000.0
armenia,quindio,apartamento,1.0,,2.0,48.0,650000.0
armenia,quindio,apartaestudio,1.0,,1.0,40.0,1400000.0
armenia,quindio,apartaestudio,1.0,,1.0,38.0,830000.0
armenia,quindio,casa,3.0,,3.0,155.0,2000000.0
armenia,quindio,oficina,2.0,1.0,,22.0,1850000.0
armenia,quindio,local,1.0,1.0,,133.0,7122150.0
armenia,quindio,bodega,2.0,,1.0,540.0,10000000.0
armenia,quindio,apartamento,3.0,,3.0,117.0,2100000.0
armenia,quindio,apartamento,2.0,,3.0,67.0,950000.0
armenia,quindio,local,1.0,1.0,,126.0,7140000.0
armenia,quindio,casa_campestre,5.0,,3.0,250.0,6000000.0
armenia,quindio,local,1.0,1.0,,556.0,25000000.0
armenia,quindio,apartamento,2.0,,3.0,62.0,1900000.0
valledupar,cesar,apartamento,3.0,,3.0,96.0,2000000.0
valledupar,cesar,apartamento,3.0,,3.0,96.0,2300000.0
valledupar,cesar,apartamento,2.0,,2.0,56.0,1100000.0
valledupar,cesar,local,2.0,,,200.0,6500000.0
valledupar,cesar,local,,,,6.0,30000.0
valledupar,cesar,oficina,,,,137.0,4500000.0
valledupar,cesar,local,1.0,,,38.0,1000000.0
valledupar,cesar,bodega,2.0,,,2000.0,2500000.0
